vendor_pn,brand,oem_display,description,broom_type,broom_type_label,size_in,filament,pattern,compatible_models,model_codes,phase,publish_status,slug,qty
SY11-4502,Tennant,11-4502,"Main Broom 45"" 24 S.R. Nylon",main_broom,Main Broom,"45""",Nylon,single_row,355|355E|385|6500|6550|6600|6650|8400|8410|S30,010|011|050,1,pending,tennant-11-4502-main-broom-45-nylon,1
SY11-4503,Tennant,11-4503,"Main Broom 45"" 8 D.R. Crimped Wire",main_broom,Main Broom,"45""",Crimped Wire,double_row,355|355E|385|6500|6550|6600|6650|8400|8410,010|011,1,pending,tennant-11-4503-main-broom-45-crimped-wire,1
SY11-4504,Tennant,11-4504,"Main Broom 45"" 8 D.R. Proex/Wire",main_broom,Main Broom,"45""",Proex/Wire,double_row,355|355E|385|6500|6550|6600|6650|8400|8410,010|011,1,pending,tennant-11-4504-main-broom-45-proex-wire,1
SY11-4505,Tennant,11-4505,"Main Broom 45"" 8 D.R. Nylon",main_broom,Main Broom,"45""",Nylon,double_row,355|355E|385|6500|6550|6600|6650|8400|8410,010|011,1,pending,tennant-11-4505-main-broom-45-nylon,1
SY11-4506,Tennant,11-4506,"Main Broom 45"" 8 D.R. Proex",main_broom,Main Broom,"45""",,double_row,355|355E|385|6500|6550|6600|6650|8400|8410,010|011,1,pending,tennant-11-4506-main-broom-45,1
SY11-4507,Tennant,11-4507,"Main Broom 45"" 5 D.R. Nylon Patrol",main_broom,Main Broom,"45""",Nylon Patrol,double_row,355|355E|385|6500|6550|6600|6650|8400|8410,010|011,1,pending,tennant-11-4507-main-broom-45-nylon-patrol,1
SY11-4509,Tennant,11-4509,"Main Scrub 45"" 24 S.R. .066/36 Grit",cylindrical_scrub,Cylindrical Scrub,"45""",,single_row,7400,040,2,pending,tennant-11-4509-cylindrical-scrub-45,2
SY11-4510,Tennant,11-4510,"Main Scrub 45"" 24 S.R. Poly",cylindrical_scrub,Cylindrical Scrub,"45""",Poly,single_row,7400,040,2,pending,tennant-11-4510-cylindrical-scrub-45-poly,2
SY11-4511,Tennant,11-4511,"Main Scrub 45"" 24 S.R. Soft Nylon",cylindrical_scrub,Cylindrical Scrub,"45""",Soft Nylon,single_row,7400,040,2,pending,tennant-11-4511-cylindrical-scrub-45-soft-nylon,2
SY11-4701,Tennant,11-4701,"Main Scrub 47"" 20 S.R. .060 Grit",cylindrical_scrub,Cylindrical Scrub,"47""",,single_row,7300|8300,039|043,2,pending,tennant-11-4701-cylindrical-scrub-47,2
