cue,family,notes,example_models
TXL 2000,Telescoping Track Loader,"Telescoping loader with InfoCenter 'About' showing model/serial on-machine",TXL 2000
TX 1000,Compact Utility Loader (Dingo),"Modern Dingo TX",TX 1000
TX 525,Compact Utility Loader (Dingo),"Dingo TX",TX 525
TX 427,Compact Utility Loader (Dingo),"Dingo TX",TX 427
e-Dingo 500,Compact Utility Loader (Dingo),"Wheeled e-Dingo (model 22218)",22218
323,Compact Utility Loader (Dingo),"Early Dingo",Dingo 323
MB TX 2500S,Material Buggy,"Tracked Mud Buggy (swivel)",MB TX 2500S
MB TX 2500,Material Buggy,"Tracked Mud Buggy",MB TX 2500
MB-1600,Material Buggy,"Wheeled Mud Buggy",MB-1600
