id,slug,name,voltage,current,phase,family,price_cents,bucket
11e9f244-93b8-4495-984b-f189809375c7,tennant-remanufactured-24v-battery-charger-7930220,Tennant 7930220 - Remanufactured - 24V Battery Charger,24,,,,50000,24V|?A|?|?
b534e268-7915-46cf-9786-01a8bdeb53f1,powerdrive-3-48v-club-car-charger-26560,Powerdrive 3 48V Club Car Charger 26560,48,,,,30000,48V|?A|?|?
0e11a31e-e613-4c3e-9d0b-aeaa41d5a16b,powerdrive-2-48v-club-car-charger-22110,Powerdrive 2 48V Club Car Charger 22110,48,,,,28500,48V|?A|?|?
4030acce-5521-4398-a563-d465a3c4401d,powerwise-36v-ezgo-charger-28115g04,Powerwise 36V EZGO Charger 28115G04,36,,,,35000,36V|?A|?|?
bcd342f1-3df8-4910-a88a-79263779a060,skyjack-remanufactured-24v-charger-wo-gel-105739,Skyjack 105739 - Remanufactured - 24V Charger W/O Gel,24,,,,34000,24V|?A|?|?
c133a7ae-a017-4f3a-bff3-85adf4412787,powerdrive-3-48v-club-car-charger-26580,Powerdrive 3 48V Club Car Charger 26580,48,,,,31000,48V|?A|?|?
ee7f7358-deeb-4012-b77b-654260aa1704,taylor-dunn-remanufactured-24v-battery-charger-7930220-td,Taylor Dunn 7930220 - Remanufactured - 24V Battery Charger,24,,,,35000,24V|?A|?|?
89a869eb-9775-4f39-b422-a872831ccf97,hyster-remanufactured-24v-battery-charger-4092995,Remanufactured - Hyster 24V Battery Charger - Hyster 4092995 / Yale 550088614,24,,,,55000,24V|?A|?|?
272ccf49-476e-4807-a06d-bd87477e5a99,green2-36v-70a,GREEN2 36V 70A,36,70,1P,green2,110000,36V|70A|1P|green2
270f313c-61c2-4cf1-8be9-189acd34811c,green2-36v-20a,GREEN2 36V 20A,36,20,1P,green2,110000,36V|20A|1P|green2
aaf3b4d1-db22-4ac8-8231-9f8eea1ba9af,green2-36v-40a,GREEN2 36V 40A,36,40,1P,green2,110000,36V|40A|1P|green2
